count,faces,points
142,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[271.4358914705065, 89.17374080362197], [329.40157617464524, 89.17374080362197], [329.40157617464524, 323.34125636672326], [271.4358914705065, 323.34125636672326], [85.87178294101301, 191.97566496887382], [131.7607235299567, 191.97566496887382], [85.87178294101301, 394.92076966610074]]"
143,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[170.4016924997684, 133.47255234861348], [329.6581266177425, 133.47255234861348], [329.6581266177425, 280.93887945670633], [170.4016924997684, 280.93887945670633], [131.21365632327058, 113.04244482173178], [306.58961235114293, 113.04244482173178], [131.21365632327058, 414.6434634974533]]"
144,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[247.13679588295233, 85.17374080362195], [339.28205426474676, 85.17374080362195], [339.28205426474676, 319.14940577249575], [247.13679588295233, 319.14940577249575], [77.15383720575974, 183.55178268251274], [132.07697676544143, 183.55178268251274], [77.15383720575974, 409.8415393322015]]"
145,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[278.70936691128793, 77.18902093944538], [342.65812661774237, 77.18902093944538], [342.65812661774237, 302.96943972835317], [278.70936691128793, 302.96943972835317], [113.28205426474676, 158.85059422750425], [170, 158.85059422750425], [113.28205426474676, 390.7317487266553]]"
146,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[252.34014712586574, 41.659151998612685], [339.16423316933356, 41.659151998612685], [339.16423316933356, 329.94363998959506], [252.34014712586574, 329.94363998959506], [110.98831921280151, 214.32957599930634], [122.66569326773347, 214.32957599930634], [110.98831921280151, 372.011272002081]]"
147,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[266.668613464533, 63.19578600537588], [347.33430673226655, 63.19578600537588], [347.33430673226655, 255.68169600277463], [266.668613464533, 255.68169600277463], [127.82700624026748, 153.65915199861269], [186, 153.65915199861269], [127.82700624026748, 380.3633920055493]]"
148,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[270.2477389688854, 70.26825127334466], [348.3674935290304, 70.26825127334466], [348.3674935290304, 287.94510469722695], [270.2477389688854, 287.94510469722695], [118.71794573525324, 146.94510469722692], [180.2820542647467, 146.94510469722692], [118.71794573525324, 390.7317487266553]]"
149,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[280.7510811234773, 38.60010404924998], [360.8240860434679, 38.60010404924998], [360.8240860434679, 287.022544004162], [280.7510811234773, 287.022544004162], [123.99707980320039, 161.00563600104047], [165.16715336613325, 161.00563600104047], [123.99707980320039, 380.977455995838]]"
150,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[265.5985287413421, 40.49718199947975], [344.6627730709338, 40.49718199947975], [344.6627730709338, 258.2085320384982], [265.5985287413421, 258.2085320384982], [107.33722692906616, 152.50281800052025], [190.82700624026748, 152.50281800052025], [107.33722692906616, 410.11688199080896]]"
151,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[200.5219014759972, 89.32957599930633], [328.3576683066634, 89.32957599930633], [328.3576683066634, 244.97745599583803], [200.5219014759972, 244.97745599583803], [104.16423316933364, 146.9943639989595], [135.52482167279683, 146.9943639989595], [104.16423316933364, 343.4859099973988]]"
152,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[284.4664177368044, 54.85493800398855], [334.9853990160019, 54.85493800398855], [334.9853990160019, 263.6704240006937], [284.4664177368044, 263.6704240006937], [118.161312972534, 166.80421399462412], [135.33430673226653, 166.80421399462412], [118.161312972534, 390.6591519986127]]"
153,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[225.30218456747068, 60.32957599930634], [339.838687027466, 60.32957599930634], [339.838687027466, 291.8564120350299], [225.30218456747068, 291.8564120350299], [82.50730049199908, 152.30139599410387], [146.7036558261285, 152.30139599410387], [82.50730049199908, 365.8323939998266]]"
154,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[223.34306732266543, 54.18451400329489], [336.32846633866734, 54.18451400329489], [336.32846633866734, 258.5084540015607], [223.34306732266543, 258.5084540015607], [80.5014600983998, 172.4690019942773], [122.83868702746597, 172.4690019942773], [80.5014600983998, 354]]"
155,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[237.1817543501314, 52.80984999566462], [336.98831921280157, 52.80984999566462], [336.98831921280157, 252.65351599757219], [237.1817543501314, 252.65351599757219], [75.01168078719849, 167.0056360010405], [137.68029425173157, 167.0056360010405], [75.01168078719849, 360.8380300008671]]"
156,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[210.47866926520993, 42.19807583474817], [339.6239276470043, 42.19807583474817], [339.6239276470043, 259.63384267119415], [210.47866926520993, 259.63384267119415], [87.88036176497832, 159.37804187889077], [148.09401808824893, 159.37804187889077], [87.88036176497832, 369]]"
157,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[218.4616279424025, 61.58234295415959], [335.94018088248913, 61.58234295415959], [335.94018088248913, 250.28353140916806], [218.4616279424025, 250.28353140916806], [115.2990955875542, 173.33842671194114], [106.08555558940682, 173.33842671194114], [115.2990955875542, 369.96038483305034]]"
158,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[211.70078808732265, 53.81097906055461], [335.8461627942403, 53.81097906055461], [335.8461627942403, 252.18562535370685], [211.70078808732265, 252.18562535370685], [117.26489661681612, 139.58517260894172], [181, 139.58517260894172], [117.26489661681612, 363.5670628183362]]"
159,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[248.61534882303903, 71.77136389360498], [340.5641085294934, 71.77136389360498], [340.5641085294934, 241.62195812110923], [248.61534882303903, 241.62195812110923], [109.4700904412446, 146.03961516694963], [145.58972867626625, 146.03961516694963], [109.4700904412446, 367.86587436332763]]"
160,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[243.9658010292619, 35.86587436332768], [341.97437985322733, 35.86587436332768], [341.97437985322733, 249.0945104697227], [243.9658010292619, 249.0945104697227], [116, 188.2376910016978], [136.11117573617958, 188.2376910016978], [116, 359]]"
