count,faces,points
67,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[125.79251949876584, 181], [203, 181], [203, 303.59543010869555], [125.79251949876584, 303.59543010869555], [175, 151.56678229343024], [319.6054736752926, 151.56678229343024], [319.6054736752926, 306.02291825221226]]"
68,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[122.78744518104531, 186], [202, 186], [202, 298.79197402534635], [122.78744518104531, 298.79197402534635], [178, 153.37594500793583], [321.8043901083089, 153.37594500793583], [321.8043901083089, 316.664207797229]]"
69,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[129.99490278113302, 187], [208.00169907295566, 187], [208.00169907295566, 292.3816287071955], [129.99490278113302, 292.3816287071955], [181, 155.3759450079358], [320.0033981459113, 155.3759450079358], [320.0033981459113, 321.66991442838537]]"
70,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[136, 183], [203, 183], [203, 294], [136, 294], [171, 158.1851077224414], [320.0016990729556, 158.1851077224414], [320.0016990729556, 309.4619343175251]]"
71,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[129.9932037081774, 183], [209.0016990729556, 183], [209.0016990729556, 300.9885408738939], [129.9932037081774, 300.9885408738939], [176, 159.7748082680839], [326.6071269459551, 159.7748082680839], [326.6071269459551, 312.23094422686586]]"
72,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[133, 185], [209, 185], [209, 303], [133, 303], [169, 160.37592207603913], [329.8060891812646, 160.37592207603913], [329.8060891812646, 319.85499921893006]]"
73,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[134, 188], [208, 188], [208, 305], [134, 305], [175, 158.96562262168163], [320, 158.96562262168163], [320, 318.04583650442447]]"
74,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[126.3928501528984, 186], [218.2040823553229, 186], [218.2040823553229, 311.0343773783183], [126.3928501528984, 311.0343773783183], [175, 158.37019251298608], [326.0067962918225, 158.37019251298608], [326.0067962918225, 312.42182737615366]]"
75,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[130.9932037081774, 190], [211, 190], [211, 306.994270436947], [130.9932037081774, 306.994270436947], [181, 160.7747853361872], [323.8010377646906, 160.7747853361872], [323.8010377646906, 317.44469976457253]]"
76,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[130.79084332695666, 188], [210.1989622353094, 188], [210.1989622353094, 302.7805148992403], [130.79084332695666, 302.7805148992403], [177, 160.17364859633528], [327.20405945417633, 160.17364859633528], [327.20405945417633, 306.6125958659581]]"
77,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[135, 186], [212, 186], [212, 300], [135, 300], [177, 163.37594500793583], [324.60202972708817, 163.37594500793583], [324.60202972708817, 327.2710511682373]]"
